Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,imdb_id,runtime_minutes,imdbRating_clean,imdbVotes_clean,Metascore_clean,Year_clean
Piola,2019,,12 Mar 2021,102 min,Drama,Luis Pérez García,Luis Pérez García,"Pascal Balart, Steevens Benjamin, Matías Burgos","Two friends spend their time making rap music. One night they find a weapon, while a girl loses her dog. Although seemingly unrelated, these stories are intimately linked, telling the difficult passage from adolescence to adulthood.",Spanish,Chile,1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BZjUyZGFjYWYtYzc0OC00YWRmLTg3OTAtMmQ2YWMwMGUzMWNiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",,6.4,385,tt10035478,movie,,,,,tt10035478,102.0,6.4,385.0,,2019
"Our Lady of San Juan, Four Centuries of Miracles",2021,,02 Feb 2021,122 min,"Drama, History",Francisco Pérez,"Noe González, Francisco Pérez","Juan Manuel Azcona, Humberto Fuentes, Eduardo Galeazzi","In this dramatization, the Virgin Mary works a miracle on a girl in 1623 Mexico. Four centuries later, a family make a pilgrimage for their own child.",Spanish,Mexico,,https://m.media-amazon.com/images/M/MV5BNTY0MWMxZmMtNWNlOS00NzQ4LTlkMzAtOTI5N2ZmNzY5YmQ0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",,6.3,96,tt10038660,movie,,,,,tt10038660,122.0,6.3,96.0,,2021
My Stupid Boss 2,2019,TV-PG,28 Mar 2019,96 min,"Adventure, Comedy",Upi Avianto,Upi Avianto,"Reza Rahadian, Bunga Citra Lestari, Kin Wah Chew","Bossman and his employees goes to Vietnam to find new workers for his company, but instead of getting new workers they got a lot of new troubles.","Indonesian, Malay, English, Vietnamese",Indonesia,1 win & 4 nominations,https://m.media-amazon.com/images/M/MV5BNWVjMTRmZWEtNGUxNS00MzU4LTgyY2EtOTM3YmMyNGViZmNhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",,6.5,566,tt10039468,movie,,,,,tt10039468,96.0,6.5,566.0,,2019
Between Maybes,2019,Not Rated,24 May 2019,107 min,"Drama, Romance",Jason Paul Laxamana,Jason Paul Laxamana,"Gerald Anderson, Julia Barretto, Yayo Aguila","While on vacation in Japan, a Filipina actress meets a young Filipino man.","Filipino, Tagalog, Japanese",Philippines,1 nomination,https://m.media-amazon.com/images/M/MV5BMjZmMTc5MDUtMjQ3Mi00OWJlLWI2OTEtM2U4Mzc0YTFhY2E5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.2/10'}]",,6.2,240,tt10044704,movie,,,,,tt10044704,107.0,6.2,240.0,,2019
#DUPE#,2020,,,,,,,,,,,,,[],,,,tt1545304,movie,,,,,tt10050362,,,,,2020
Brené Brown: The Call to Courage,2019,,19 Apr 2019,76 min,"Documentary, Drama",Sandra Restrepo,,Brené Brown,Brené Brown compares courage to vulnerability and gives her audience a call to take chances.,,,,https://m.media-amazon.com/images/M/MV5BOTg5Y2YzMmYtMDZkZi00NTI4LTkzZWMtMzA0YzM4NzRkZmMwXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",,7.7,"1,893",tt10050766,movie,,,,,tt10050766,76.0,7.7,1893.0,,2019
Anthony Jeselnik: Fire in the Maternity Ward,2019,TV-MA,30 Apr 2019,64 min,Comedy,Marcus Raboy,Anthony Jeselnik,Anthony Jeselnik,"Forging his own comedic boundaries, Anthony Jeselnik revels in getting away with saying things others can't in this stand-up special shot in New York.",English,United States,,https://m.media-amazon.com/images/M/MV5BY2VmOWEyZTEtZTkxYS00NGM2LThjYTMtNjc0ZGNhNGU0OTUyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '80%'}]",,7.2,"4,555",tt10050780,movie,,,,,tt10050780,64.0,7.2,4555.0,,2019
Grass is Greener,2019,TV-MA,20 Apr 2019,97 min,Documentary,Fab 5 Freddy,,"Harry J. Anslinger, Louis Armstrong, B-Real",A look at America's complicated relationship with cannabis.,,,,https://m.media-amazon.com/images/M/MV5BMjk4YTdiYjItYjU4Yi00ZGMzLTllYjktYTVlZGZmNjcyYzk0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}]",,7.1,"1,579",tt10050782,movie,,,,,tt10050782,97.0,7.1,1579.0,,2019
The Knight Before Christmas,2019,TV-PG,21 Nov 2019,92 min,"Adventure, Comedy, Drama",Monika Mitchell,Cara J. Russell,"Vanessa Hudgens, Josh Whitehouse, Emmanuelle Chriqui",A medieval English knight is magically transported to present-day America where he falls for a high school science teacher who is disillusioned by love.,English,United States,1 win & 2 nominations,https://m.media-amazon.com/images/M/MV5BNzY0YThhNDktMDA4Mi00NzdjLWI3MmQtYzBlYTJmYzU5NDdmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '71%'}]",,5.6,"20,739",tt10060094,movie,,,,,tt10060094,92.0,5.6,20739.0,,2019
Mantan Manten,2019,,04 Apr 2019,102 min,"Drama, Romance",Farishad I. Latjuba,"Farishad I. Latjuba, Jenny Jusuf","Atiqah Hasiholan, Arifin Putra, Tutie Kirana","A wealthy woman is betrayed and all her wealth is gone. Her marriage plan is also in danger. But, she still has a villa as her only hope. To take the villa back, she had to become an assistant to a traditional bride shaman.",Indonesian,Indonesia,6 nominations,https://m.media-amazon.com/images/M/MV5BZWU3MjM1NjctNGQ5Yy00ZmJiLWIwNzAtM2U2YjBhMzY4ZmI0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}]",,7.0,185,tt10066526,movie,,,,,tt10066526,102.0,7.0,185.0,,2019
Manmadhudu 2,2019,,08 Aug 2019,155 min,"Comedy, Drama, Romance",Rahul Ravindran,"Rahul Ravindran, Satyanand, Kittu Vissapragada","Nagarjuna Akkineni, Rakul Preet Singh, Vennela Kishore","Under pressure to marry, a perennial bachelor hires a much younger woman to act as his fiancée, but her bond with his family throws his plan for a loop.",Telugu,"India, France",,https://m.media-amazon.com/images/M/MV5BZWNmZjEzMTctMzRjMi00Njc2LWFjNjctMGYwZDJkNWI1NTljXkEyXkFqcGdeQXVyMTEzNzg0Mjkx._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}]",,4.8,813,tt10076106,movie,,,,,tt10076106,155.0,4.8,813.0,,2019
We Are Legends,2019,,19 Mar 2019,108 min,Action,Daniel Yee Heng Chan,Daniel Yee Heng Chan,"Wai-Kuen Au, Yan Ting Chau, Lisa Cheng","My brother ""Investing"" and his younger brother ""Electric Rabbit"" grew up in an orphanage. They were adopted by the school worker ""Thunder Sir"" and received the help of ""Lei Master"" and stayed in the village boxing gym. The intensi...",Cantonese,Hong Kong,,https://m.media-amazon.com/images/M/MV5BMWQyOTVlODUtYjRmMC00MTQzLTg1MGYtZWFkZDg0NzllZGNiXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",,5.2,223,tt10076722,movie,,,,,tt10076722,108.0,5.2,223.0,,2019
The Unknown Saint,2019,,01 Jan 2020,100 min,"Comedy, Crime",Alaa Eddine Aljem,Alaa Eddine Aljem,"Younes Bouab, Salah Ben Saleh, Bouchaib Semmak",A criminal returns to the fake grave where he buried his loot years before and discovers that it has become the shrine of an unknown saint and a thriving little village.,Arabic,"Morocco, France, Qatar",4 wins & 7 nominations,https://m.media-amazon.com/images/M/MV5BY2QwOTM2MWEtODAwNS00MmE1LWE1MDctMGMzM2NkZTQzZTQ0XkEyXkFqcGdeQXVyNjgzMjQ0MTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '93%'}]",,6.5,"1,605",tt10077998,movie,,,,,tt10077998,100.0,6.5,1605.0,,2019
Stars in the Sky: A Hunting Story,2018,TV-14,06 Aug 2020,75 min,Documentary,Steven Rinella,Steven Rinella,"Steven Rinella, Robert Abernathy, Greg Blascovich","STARS IN THE SKY: A Hunting Story is an examination of the lives of American hunters and their sometimes complicated relationship to our environment, presented as an honest exploration of the controversies, emotions, and tradition...",English,United States,,https://m.media-amazon.com/images/M/MV5BMGFlZjhhOGMtNGY1ZS00YzViLWJjYzktNGQ2MDA4OTE2OGJmXkEyXkFqcGdeQXVyOTYwMjIzNTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",,7.3,408,tt10078502,movie,,,,,tt10078502,75.0,7.3,408.0,,2018
Freej Al Taibeen,2018,,02 Jun 2020,100 min,"Comedy, Sport",Ahmed Zain,Ahmed Zain,"Khalid Al Nuaimi, Nasser Al-Dhahnani, Yaser Al-Neyadi","Local rivals gear up to compete in a traditional game that tests their physical strength and endurance, but complications disrupt their training.",Arabic,United Arab Emirates,,https://m.media-amazon.com/images/M/MV5BZjNlNWI2ZWUtMmRjMi00YWVkLWEzNDctMzdjNDJmYzBlMThmXkEyXkFqcGc@._V1_SX300.jpg,[],,,17,tt10078900,movie,,,,,tt10078900,100.0,,17.0,,2018
Evvarikee Cheppoddu,2019,,09 Oct 2019,133 min,Drama,Basava Shankar Eeday,Basava Shankar Eeday,"Rajsekhar Aningi, Keshav Deepak, Durgaprasad K","Hari and Harathi are in love, but Harathi's father won't agree to their relationship because of their caste differences.",Telugu,India,,https://m.media-amazon.com/images/M/MV5BMDkzZGY3ZTUtZTM1Mi00YjY2LThjMTUtZTVhNTY3YzgwN2RhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",,7.1,464,tt10081202,movie,,,,,tt10081202,133.0,7.1,464.0,,2019
Aaviri,2019,,01 Nov 2019,110 min,"Drama, Thriller",Ravi Babu,"Ravi Babu, Satyanand","Ravi Babu, Neha Chauhan, Himaja","After losing their first child in an accident, a couple moves to a palatial home, where their young daughter comes under the spell of an eerie spirit.",Telugu,India,,https://m.media-amazon.com/images/M/MV5BM2Y2YTFjYmQtMmI4ZC00OGU4LTkyNWUtZWRmYzMxODEwZjRjXkEyXkFqcGdeQXVyNDc2NzU1MTA@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.6/10'}]",,3.6,134,tt10081210,movie,,,,,tt10081210,110.0,3.6,134.0,,2019
Gangubai Kathiawadi,2022,TV-MA,25 Feb 2022,152 min,"Biography, Crime, Drama",Sanjay Leela Bhansali,"Sanjay Leela Bhansali, Abhiruchi Chand, Saurabh H. Dikshit","Alia Bhatt, Shantanu Maheshwari, Vijay Raaz","Duped and sold to a brothel, a young woman fearlessly reclaims her power, using underworld connections to preside over the world she was once a pawn in.",Hindi,India,50 wins & 55 nominations total,https://m.media-amazon.com/images/M/MV5BYjliYjA0MWUtMjVkNi00MDc0LTg1MDgtYWExNGM0OWQ1NjBhXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '91%'}]",,7.8,"64,383",tt10083340,movie,,"$592,000",,,tt10083340,152.0,7.8,64383.0,,2022
Francesco de Carlo: Cose di Questo Mondo,2019,,12 Apr 2019,61 min,Comedy,Francesco Imperato,,Francesco De Carlo,"Taking to the stage in Milan, Francesco de Carlo opens up about bad habits, religion, politics and what he's learned from travelling the world.",Italian,Italy,,https://m.media-amazon.com/images/M/MV5BYTRiZmE4YWItZDZmZi00YjVjLTkzY2QtMjA2ZjQwYjc5YjgyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",,6.4,124,tt10087952,movie,,,,,tt10087952,61.0,6.4,124.0,,2019
Super Monsters Furever Friends,2019,,16 Apr 2019,58 min,Animation,"Steve Ball, Jacob Joice",Kaaren Lee Brown,"Elyse Maloway, Vincent Tong, Erin Mathews",,English,,1 win,https://m.media-amazon.com/images/M/MV5BYWZjZjk5NTEtNjNhMi00NWU4LThjZDMtYWI3NDY0NjQyODc2XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}]",,5.5,86,tt10087988,movie,16 Apr 2019,,Netflix,,tt10087988,58.0,5.5,86.0,,2019
Holiday Rush,2019,TV-PG,28 Nov 2019,92 min,"Comedy, Drama, Family",Leslie Small,"Sean Dwyer, Greg Cope White","Romany Malco, Sonequa Martin-Green, Darlene Love","After his sudden firing, a popular radio DJ moves in with his aunt, bringing along his four spoiled children, and a plan to return to the airwaves.",English,United States,3 nominations,https://m.media-amazon.com/images/M/MV5BMWQ5MzAxNDktYTU5My00ZGU2LThhMjEtZmEzM2UxNjIxODk3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.0/10'}]",,5.0,"3,221",tt10091530,movie,,,,,tt10091530,92.0,5.0,3221.0,,2019
Monster Run,2020,,18 Aug 2020,104 min,"Action, Drama, Fantasy",Henri Wong,"Wenwen Fan, A. Lee Martinez, Yahe Wang","Shawn Yue, Jessie Li, Kara Ying Hung Wai","Ji Mo is regarded as an outlier because she can see monsters. One day, she sees a monster in the supermarket and meets a monster hunter, Meng. She discovers that there really are monsters in the world, and she is involved in a new...","Chinese, Cantonese",China,,https://m.media-amazon.com/images/M/MV5BNjMwYmE2NjQtMWRjYy00MDMwLTg5NjMtMzQ3YWZmM2ZiNDAyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",,5.1,597,tt10097484,movie,,,,,tt10097484,104.0,5.1,597.0,,2020
Super Me,2019,,09 Apr 2021,102 min,"Drama, Fantasy, Mystery",Chong Zhang,Chong Zhang,"Talu Wang, Song Jia, Kevin Lee",A young scriptwriter starts bringing valuable objects back from his short nightmares of being chased by a demon. Selling them makes him rich.,Mandarin,China,,https://m.media-amazon.com/images/M/MV5BODkzNWQzMDUtMDM2MC00OGNkLThlMzQtMTllYTc0NjVlNTRkXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",,5.8,"2,134",tt10097544,movie,,,,,tt10097544,102.0,5.8,2134.0,,2019
Roohi,2021,,11 Mar 2021,134 min,"Comedy, Horror","Hardik Mehta, Jaspal Singh","Mrighdeep Lamba, Gautam Mehra","Rajkummar Rao, Janhvi Kapoor, Varun Sharma","Hired to kidnap a bride, two bumbling pals get into a wacky predicament when one falls for their abductee, and the other falls for the spirit that possesses her.",Hindi,India,11 nominations,https://m.media-amazon.com/images/M/MV5BYzc5OGI3Y2YtOTY0ZS00NDI1LTliMDktYTI2YmU4MGI5MDBmXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '9%'}]",,4.3,"11,171",tt10098288,movie,,,,,tt10098288,134.0,4.3,11171.0,,2021
My Little Pony: A New Generation,2021,PG,24 Sep 2021,90 min,"Animation, Adventure, Comedy","Robert Cullen, José Luis Ucha, Mark Fattibene","Gillian Berrow, Tim Sullivan, Robert Cullen","Vanessa Hudgens, Kimiko Glenn, James Marsden","After the time of the Mane 6, Sunny--a young Earth Pony--and her new Unicorn friend Izzy explore their world and strive to restore Harmony to Equestria.",English,"United States, Ireland, Canada",4 nominations total,https://m.media-amazon.com/images/M/MV5BYzY1NDc3ODctZWJkOC00MzhmLTk3NjctZTk5ZThmNjUxMWEyXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}]",,6.8,"4,987",tt10101702,movie,,,,,tt10101702,90.0,6.8,4987.0,,2021
Illegal Woman,2020,TV-MA,10 May 2021,119 min,Drama,Ramon Térmens,"Daniel Faraldo, Ramon Térmens","Daniel Faraldo, Isak Férriz, Yolanda Sey",The life of an immigration lawyer changes radically when his new client appears dead in suspicious circumstances inside a CIE (immigration detention center).,"Spanish, Catalan",Spain,4 nominations,https://m.media-amazon.com/images/M/MV5BNGRjNjA4MTAtMzVjNS00ODVjLTg2Y2UtZGM4NzE5Y2VhODVjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}]",,6.3,236,tt10101806,movie,,,,,tt10101806,119.0,6.3,236.0,,2020
Life's Speed Bump,2006,,04 Jul 2007,110 min,"Comedy, Drama, Romance",Wael Ihsan,Tarek Al Amir,"Ahmed Helmy, Nour, Ezzat Abu Ouf","""Mimi"" recognized by the family of a businessman has a girl named (Mai) working as a secretary and there are many exciting Situations happened completely as cat and mouse.",Arabic,Egypt,,https://m.media-amazon.com/images/M/MV5BOTU2MzBjOTEtMmRkOC00MWY0LTg4MzMtYWM2ODU1YmJmNGJlXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",,6.6,"3,378",tt1010422,movie,,,,,tt1010422,110.0,6.6,3378.0,,2006
Thunder Force,2021,PG-13,09 Apr 2021,106 min,"Action, Adventure, Comedy",Ben Falcone,Ben Falcone,"Melissa McCarthy, Octavia Spencer, Jason Bateman","In a world where supervillains are commonplace, two estranged childhood best friends reunite after one devises a treatment that gives them powers to protect their city.",English,United States,4 nominations total,https://m.media-amazon.com/images/M/MV5BODU5ZThhYmUtODgzZi00MDVjLThjZmItMzM3YjkwMjE4MzcxXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '22%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34.0,4.6,"47,621",tt10121392,movie,,,,,tt10121392,106.0,4.6,47621.0,34.0,2021
Uriyadi 2,2019,Not Rated,05 Apr 2019,119 min,"Action, Thriller",Vijay Kumar,Vijay Kumar,"Vijay Kumar, Vismaya, Sudhakar","Lenin Vijay, a young man, secures a job at a factory, along with two other friends. However, when he learns that the place is flouting environmental norms and causing deaths, he seeks justice.",Tamil,India,,https://m.media-amazon.com/images/M/MV5BZTg0OThkYzUtMWZmYS00Y2YyLWFhZGEtOWUxOGE0NmQyMmE3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",,7.1,992,tt10121762,movie,,,,,tt10121762,119.0,7.1,992.0,,2019
Dragon Quest: Your Story,2019,,02 Aug 2019,103 min,"Animation, Action, Adventure","Makoto Hanafusa, Ryuichi Yagi, Takashi Yamazaki","Yûji Horii, Michael Allan Schneider","Kasumi Arimura, Steve Blum, Shaun Conde",Based on the fifth Dragon Quest game.,Japanese,Japan,,https://m.media-amazon.com/images/M/MV5BNGM4YmYyYzQtN2QzMi00Yzk3LThiMDUtYWZjYWQ5OGIyYzk0XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.5/10'}]",,6.5,"3,339",tt10127562,movie,,,,,tt10127562,103.0,6.5,3339.0,,2019
Franco Escamilla: Bienvenido al Mundo,2019,TV-MA,17 Apr 2019,54 min,Comedy,Ulises Valencia,Franco Escamilla,Franco Escamilla,"Comedian Franco Escamira shares the story of parenting when children are in trouble, while reflecting on gender, friendship and love.",Spanish,Mexico,,https://m.media-amazon.com/images/M/MV5BZTZiZDU1ZGUtMmZiYS00Mzc5LWE3ZjktOTE5YmViYTNlMTliXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",,7.1,304,tt10128616,movie,,,,,tt10128616,54.0,7.1,304.0,,2019
Bye Bye London,1982,TV-14,,176 min,"Comedy, Drama",,,"Abdulhussain Abdulredha, Ghanem Al-Saleh, Haifaa Adel",A rich old man travels to London to have fun while his nephew is trying his best to save him from being a victim of fraud.,Arabic,Kuwait,,https://m.media-amazon.com/images/M/MV5BYzM2YTFhM2EtYmNkMi00MDk1LWE3OGMtMDA4YzRiNjFhMGIzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.6/10'}]",,8.6,198,tt10130668,movie,,,,,tt10130668,176.0,8.6,198.0,,1982
Homecoming: A Film by Beyoncé,2019,TV-MA,17 Apr 2019,137 min,"Documentary, Music","Beyoncé, Ed Burke",Beyoncé,"Beyoncé, Jay-Z, Kelly Rowland","This intimate, in-depth look at Beyoncé's celebrated 2018 Coachella performance reveals the emotional road from creative concept to cultural movement.",English,United States,Nominated for 6 Primetime Emmys. 6 wins & 12 nominations total,https://m.media-amazon.com/images/M/MV5BZDEzODFjZDUtYjFhMy00OTdiLThiMzctYzg5Yjc4ZTVkMmQ3XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '98%'}]",,7.6,"8,308",tt10147546,movie,,,,,tt10147546,137.0,7.6,8308.0,,2019
Thalaivi,2021,,10 Sep 2021,153 min,"Biography, Drama",A.L. Vijay,"Vijayendra Prasad, A.L. Vijay, Rajat Arora","Kangana Ranaut, Arvind Swamy, Nassar",A biopic on the late Tamil Nadu Chief Minister J Jayalalithaa.,"Tamil, Hindi",India,3 wins & 18 nominations total,https://m.media-amazon.com/images/M/MV5BMDAyZWU5N2YtMzY0OC00YzJjLTljNzctMDdhMmFiODcwNzY5XkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '20%'}]",,5.9,"31,409",tt10152736,movie,,,,,tt10152736,153.0,5.9,31409.0,,2021
"Hello, Love, Goodbye",2019,TV-PG,09 Aug 2019,118 min,"Drama, Romance",Cathy Garcia-Sampana,"Carmi Raymundo, Cathy Garcia-Sampana, Rona Co","Kathryn Bernardo, Alden Richards, Maymay Entrata",A bartender romances a domestic helper despite the fact that she is moving to Canada.,"Filipino, Chinese",Philippines,7 wins & 24 nominations,https://m.media-amazon.com/images/M/MV5BZTdjMmM3N2YtNGY1Yy00M2JhLTkxMjktZGFhMTRhNTUzYTNjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",,7.3,"1,537",tt10156112,movie,,,,,tt10156112,118.0,7.3,1537.0,,2019
The Prom,2020,PG-13,11 Dec 2020,130 min,"Comedy, Drama, Musical",Ryan Murphy,"Bob Martin, Chad Beguelin, Matthew Sklar","Meryl Streep, James Corden, Nicole Kidman",A troupe of hilariously self-obsessed theater stars swarm into a small conservative Indiana town in support of a high-school girl who wants to take her girlfriend to the prom.,English,United States,5 wins & 29 nominations total,https://m.media-amazon.com/images/M/MV5BY2ViN2NkY2QtNTU2Yy00MjE0LTgxZWEtMmNmYTZmOTU4ODJjXkEyXkFqcGc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '55/100'}]",55.0,5.9,"30,095",tt10161886,movie,,,,,tt10161886,130.0,5.9,30095.0,55.0,2020
